Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10nF","C_0201_0603Metric_L",-115.570000,-122.758200,180.000000,bottom
"C2","0.1uF","C_0201_0603Metric_L",-115.570000,-123.367800,180.000000,bottom
"C3","4.7uF","C_0402_1005Metric_L",-115.329200,-122.047000,180.000000,bottom
"C6","10nF","C_0201_0603Metric_L",-115.011200,-116.382800,0.000000,bottom
"C7","0.1uF","C_0201_0603Metric_L",-115.011200,-115.773200,0.000000,bottom
"C8","4.7uF","C_0402_1005Metric_L",-114.757200,-114.985800,0.000000,bottom
"C9","10nF","C_0201_0603Metric_L",-110.185200,-120.370600,0.000000,bottom
"C10","0.1uF","C_0201_0603Metric_L",-110.185200,-120.980200,0.000000,bottom
"C11","4.7uF","C_0402_1005Metric_L",-109.905800,-121.742200,0.000000,bottom
"C13","10nF","C_0201_0603Metric_L",-112.496600,-122.809000,0.000000,bottom
"C14","10nF","C_0201_0603Metric_L",-113.584400,-116.382800,180.000000,bottom
"C15","0.1uF","C_0201_0603Metric_L",-112.496600,-123.418600,0.000000,bottom
"C16","1uF","C_0201_0603Metric_L",-112.496600,-124.053600,0.000000,bottom
"C18","10nF","C_0201_0603Metric_L",-116.992400,-118.364000,180.000000,bottom
"C19","10nF","C_0201_0603Metric_L",-116.814600,-122.758200,180.000000,bottom
"C20","0.1uF","C_0201_0603Metric_L",-116.992400,-118.999000,180.000000,bottom
"C21","1uF","C_0201_0603Metric_L",-116.992400,-119.634000,180.000000,bottom
"C22","10uF","C_0402_1005Metric_L",-117.221000,-120.421400,180.000000,bottom
"C24","10nF","C_0201_0603Metric_L",-114.300000,-121.183400,0.000000,bottom
"C25","10nF","C_0201_0603Metric_L",-113.644000,-122.809000,0.000000,bottom
"C26","0.1uF","C_0201_0603Metric_L",-113.618600,-123.444000,0.000000,bottom
"C27","1uF","C_0201_0603Metric_L",-113.639600,-124.053600,0.000000,bottom
"C28","10uF","C_0402_1005Metric_L",-113.588800,-122.047000,0.000000,bottom
"C29","10nF","C_0201_0603Metric_L",-110.109000,-118.846600,0.000000,bottom
"C30","0.1uF","C_0201_0603Metric_L",-110.104600,-118.237000,0.000000,bottom
"C31","1uF","C_0201_0603Metric_L",-110.109000,-117.602000,0.000000,bottom
"C32","10uF","C_0402_1005Metric_L",-109.880400,-119.634000,0.000000,bottom
"C35","0.1uF","C_0201_0603Metric_L",-98.298000,-118.922800,180.000000,bottom
"C36","2.2uF","C_0402_1005Metric_L",-98.094800,-118.160800,180.000000,bottom
"C37","0.1uF","C_0201_0603Metric_L",-99.136200,-114.332000,180.000000,bottom
"C38","10nF","C_0201_0603Metric_L",-99.136200,-114.935000,180.000000,bottom
"C41","0.1uF","C_0201_0603Metric_L",-103.149400,-124.409200,0.000000,bottom
"C42","10nF","C_0201_0603Metric_L",-103.149400,-123.799600,0.000000,bottom
"C43","0.1uF","C_0201_0603Metric_L",-98.272600,-122.910600,180.000000,bottom
"C44","22uF","C_0402_1005Metric_L",-98.018600,-122.148600,180.000000,bottom
"C45","0.1uF","C_0201_0603Metric_L",-86.233000,-115.239800,90.000000,bottom
"C46","0.1uF","C_0201_0603Metric_L",-98.272600,-121.361200,180.000000,bottom
"C47","2.2uF","C_0402_1005Metric_L",-96.672400,-121.195600,270.000000,bottom
"C48","0.1uF","C_0201_0603Metric_L",-102.043400,-122.739400,0.000000,bottom
"C49","10nF","C_0201_0603Metric_L",-102.043400,-122.123200,0.000000,bottom
"C50","0.1uF","C_0201_0603Metric_L",-101.510000,-115.697000,180.000000,bottom
"C51","0.1uF","C_0201_0603Metric_L",-98.298000,-119.532400,180.000000,bottom
"C52","2.2uF","C_0402_1005Metric_L",-96.672400,-119.430800,90.000000,bottom
"C53","0.1uF","C_0201_0603Metric_L",-99.630400,-124.339600,0.000000,bottom
"C54","10nF","C_0201_0603Metric_L",-99.630400,-123.723400,0.000000,bottom
"C57","0.1uF","C_0201_0603Metric_L",-101.650800,-120.929400,0.000000,bottom
"C58","0.1uF","C_0201_0603Metric_L",-107.275800,-117.761000,0.000000,bottom
"C59","0.1uF","C_0201_0603Metric_L",-103.897600,-115.087400,180.000000,bottom
"C60","10nF","C_0201_0603Metric_L",-103.897600,-115.697000,180.000000,bottom
"C62","22uF","C_0402_1005Metric_L",-103.733600,-114.223800,180.000000,bottom
"C63","0.1uF","C_0201_0603Metric_L",-99.630400,-117.126000,0.000000,bottom
"C64","10nF","C_0201_0603Metric_L",-102.094200,-117.634000,0.000000,bottom
"C65","0.1uF","C_0201_0603Metric_L",-105.206800,-113.817400,0.000000,bottom
"C66","10nF","C_0201_0603Metric_L",-105.206800,-114.401600,0.000000,bottom
"C67","0.1uF","C_0201_0603Metric_L",-101.510000,-115.094000,180.000000,bottom
"C68","0.1uF","C_0201_0603Metric_L",-107.250400,-120.936000,0.000000,bottom
"C69","10nF","C_0201_0603Metric_L",-100.519400,-121.545600,0.000000,bottom
"C70","0.1uF","C_0201_0603Metric_L",-107.275800,-119.310400,0.000000,bottom
"C71","10nF","C_0201_0603Metric_L",-99.630400,-116.516400,0.000000,bottom
"C72","0.1uF","C_0201_0603Metric_L",-104.786600,-124.415800,180.000000,bottom
"C73","10uF","C_0402_1005Metric_L",-122.097800,-122.275600,180.000000,bottom
"C74","0.1uF","C_0201_0603Metric_L",-122.093400,-123.037600,180.000000,bottom
"C79","0 Res","C_0201_0603Metric_L",-115.581600,-123.958600,180.000000,bottom
"G***","LOGO","Miniscope_Logo5",-91.900000,-117.600000,270.000000,bottom
"J3","Conn_01x01","Conn_1x1_700_Circular_Pad",-110.654000,-115.043200,0.000000,bottom
"J4","Conn_01x01","Conn_1x1_700_Circular_Pad",-111.924000,-115.043200,0.000000,bottom
"J5","Conn_01x01","Conn_1x1_700_Circular_Pad",-113.321000,-115.043200,0.000000,bottom
"J6","Conn_01x01","Conn_1x1_700_Circular_Pad",-111.924000,-113.773200,0.000000,bottom
"L1","BLM18PG471SN1D","L_0603_1608Metric_L",-117.551200,-121.539000,180.000000,bottom
"L2","BLM18PG471SN1D","L_0603_1608Metric_L",-113.741200,-120.243600,0.000000,bottom
"L3","BLM18PG471SN1D","L_0603_1608Metric_L",-111.252000,-116.154200,180.000000,bottom
"L4","BLM21PG221SN1D","L_0805_2012Metric",-87.426800,-121.335800,0.000000,bottom
"L5","BLM18PG471SN1D","L_0603_1608Metric_L",-97.739200,-117.043200,0.000000,bottom
"L6","BLM18PG471SN1D","L_0603_1608Metric_L",-97.663000,-123.825000,0.000000,bottom
"L7","BLM21PG221SN1D","L_0805_2012Metric",-87.454500,-113.588800,0.000000,bottom
"L8","BLM18PG471SN1D","L_0603_1608Metric_L",-95.580200,-121.564400,90.000000,bottom
"L9","BLM18PG471SN1D","L_0603_1608Metric_L",-95.580200,-119.075200,270.000000,bottom
"R9","10K","R_0201_0603Metric_ERJ_L",-115.607000,-124.542800,0.000000,bottom
"R12","200 1%","R_0201_0603Metric_ERJ_L",-100.519400,-120.936000,0.000000,bottom
"R13","6.04K 1%","R_0201_0603Metric_ERJ_L",-100.443200,-118.116600,0.000000,bottom
"R14","10K","R_0201_0603Metric_ERJ_L",-101.655200,-121.564400,180.000000,bottom
"R15","10K","R_0201_0603Metric_ERJ_L",-99.655800,-122.891800,0.000000,bottom
"R29","10K","R_0201_0603Metric_ERJ_L",-103.161000,-122.739400,0.000000,bottom
"R30","2K","R_0201_0603Metric_ERJ_L",-122.097800,-123.647200,0.000000,bottom
"R33","22","R_0201_0603Metric_ERJ_L",-107.365800,-112.953800,270.000000,bottom
"R34","22","R_0201_0603Metric_ERJ_L",-107.975400,-112.953800,270.000000,bottom
"R35","22","R_0201_0603Metric_ERJ_L",-108.585000,-112.958200,270.000000,bottom
"R36","22","R_0201_0603Metric_ERJ_L",-109.194600,-112.953800,270.000000,bottom
"R37","22","R_0201_0603Metric_ERJ_L",-109.804200,-112.953800,270.000000,bottom
"R38","22","R_0201_0603Metric_ERJ_L",-110.439200,-112.953800,270.000000,bottom
"R39","22","R_0201_0603Metric_ERJ_L",-111.048800,-112.953800,270.000000,bottom
"R40","22","R_0201_0603Metric_ERJ_L",-106.756200,-112.953800,270.000000,bottom
"R41","0","R_0201_0603Metric_ERJ_L",-114.997400,-116.999000,180.000000,bottom
"R42","0","R_0201_0603Metric_ERJ_L",-110.069800,-122.510800,180.000000,bottom
