Ref,Val,Package,PosX,PosY,Rot,Side
"C4","10uF","C_0402_1005Metric_L",113.665000,-124.231400,180.000000,top
"C5","0.1uF","C_0201_0603Metric_L",117.424200,-123.901200,180.000000,top
"C12","0.1uF","C_0201_0603Metric_L",118.237000,-120.421400,0.000000,top
"C17","47nF","C_0201_0603Metric_L",118.237000,-119.811800,0.000000,top
"C23","0.1uF","C_0201_0603Metric_L",115.138200,-123.901200,0.000000,top
"C33","1uF","C_0201_0603Metric_L",106.527600,-112.801400,0.000000,top
"C34","1uF","C_0201_0603Metric_L",107.746800,-112.826800,180.000000,top
"C39","0.1uF","C_0201_0603Metric_L",96.575200,-119.710200,180.000000,top
"C40","0.1uF","C_0201_0603Metric_L",96.600600,-120.345200,180.000000,top
"C55","12pF","C_0201_0603Metric_L",100.457000,-113.106200,0.000000,top
"C56","12pF","C_0201_0603Metric_L",99.110800,-113.131600,180.000000,top
"C61","0.1uF","C_0201_0603Metric_L",102.184200,-112.826800,0.000000,top
"C75","10uF","C_0402_1005Metric_L",114.401600,-113.004600,180.000000,top
"C76","22uF","C_0402_1005Metric_L",112.623600,-112.993400,0.000000,top
"C77","1uF","C_0201_0603Metric_L",116.611400,-114.096800,0.000000,top
"C78","1uF","C_0201_0603Metric_L",118.364000,-114.096800,180.000000,top
"D1","LTST-C155GEKT","LED_4_P138_270X320X110L50X90N",122.377200,-111.861600,90.000000,top
"J1","USB3_A","USB3_A_Plug_Wuerth_692112030100_Horizontal",88.341200,-117.500000,180.000000,top
"J2","SMA-J-P-H-ST-EM1","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",122.885200,-117.500400,0.000000,top
"J_NA","Conn_01x01","Conn_1x1_700_Circular_Pad",113.625800,-114.001800,0.000000,top
"J_NA","Conn_01x01","Conn_1x1_700_Circular_Pad",112.355800,-114.001800,0.000000,top
"J_NA","Conn_01x01","Conn_1x1_700_Circular_Pad",111.085800,-114.001800,0.000000,top
"J_NA","Conn_01x01","Conn_1x1_700_Circular_Pad",109.815800,-114.001800,0.000000,top
"J_NA","Conn_01x01","Conn_1x1_700_Circular_Pad",108.750000,-124.000000,0.000000,top
"J_NA","Conn_01x01","Conn_1x1_700_Circular_Pad",108.750000,-123.000000,0.000000,top
